ntfs-3g 2017.3.23-4
numlockx 1.2-5
nvidia 440.82-15
nvidia-prime 1.0-3
nvidia-settings 440.82-1
nvidia-utils 440.82-1
oath-toolkit 2.6.2-8
oblogout 0.2-19
ocl-icd 2.2.12-3
oneko 1.2.5-4
oniguruma 6.9.5_rev1-1
oomox 1.12.5.3-3
openal 1.20.1-2
opencl-headers 2:2.2.20170516-2
openconnect 1:8.05-1
opencore-amr 0.1.5-3
openexr 2.5.1-1
openjade 1.3.2-6
openjpeg2 2.3.1-1
openmpi 4.0.3-1
opensp 1.5.2-9
openssh 8.2p1-3
openssl 1.1.1.g-1
openssl-1.0 1.0.2.u-1
openvpn 2.4.9-2
optipng 0.7.7-1
opus 1.3.1-1
opusfile 0.11-2
orc 0.4.31-1
os-prober 1.77-1
otf-san-francisco 1:1.0-6
p11-kit 0.23.20-5
p7zip 16.02-5
p8-platform 2.1.0.1-3
